reviews.text,reviews.rating,sentiment_score,sentiment,text
I bought this item ad a gift and would buy it again hands down.,5,2,POSITIVE,buy item ad gift buy hand
"First I must say out of the box I'd rate this tablet 3 stars for a few reasons.1)No Google Play store (which means no Google apps) and stuck with Amazon App Store.2)Have to pay $15 to remove ad filled lockscreenHowever I rooted the device within 30 minutes of owning it which A)installs Google Play services and B)removes the ad lockscreen. The tablet is now easily 5 stars. I wanted something to mainly read books, magazines and news on. This does those things great. I've also tested a few videos form a few sites like Prime Video & YouTube and it works great. Sure, there are better looking tablets out there with better screens but this one works fine for what I want.Overall I'd highly recommend this tablet if you root it and install Google Play Store. If you want to keep it as is out of the box, I'd recommend staying away from Amazon and going a full fledged Andriod tablet like Samsung.",5,2,POSITIVE,box d rate tablet star reason google play store mean google app stick amazon app store pay remove ad fill lockscreenhowever rooted device minute own install google play service b remove ad lockscreen tablet easily star wanted mainly read book magazine news thing great ve test video form site like prime video youtube work great sure well look tablet well screen work fine want overall d highly recommend tablet root install google play store want box d recommend stay away amazon going fledge andriod tablet like samsung
I have 2 of those and work great and fast is a Bluetooth.,5,2,POSITIVE,work great fast bluetooth
"Was a learning curve but once you get the hang of it, it was okay.",5,2,POSITIVE,learn curve hang okay
It's neat to use. Something I never thought I'd have. At the price I couldn't pass it up.,5,2,POSITIVE,s neat use think d price couldn t pass
Got this to replace a fire stick. It stands without buffering and I love the voice remote.,5,2,POSITIVE,get replace fire stick stand buffer love voice remote
Excellent product I love the back light on my kindle,5,2,POSITIVE,excellent product love light kindle
"Excellent cameraKids friendly, battery last longer,easy to carry",5,2,POSITIVE,excellent camerakid friendly battery long easy carry
"Didn't know how much I would like this but after trying to read on my tablet outside I decided to give this a shot. Love it, I can read in the sunlight or at night no problem, and the battery life is great",5,2,POSITIVE,didn t know like try read tablet outside decide shot love read sunlight night problem battery life great
I was using a Kindle Fire HD 7--love this new one!!,5,2,POSITIVE,kindle fire hd love new
Enjoy playing jeopardy and asking about weather in other locations,5,2,POSITIVE,enjoy play jeopardy ask weather location
"Bought for my 9 years Granddaughter, she loves it.",5,2,POSITIVE,buy year granddaughter love
Has a timer for how long your kids can be on the tablet,5,2,POSITIVE,timer long kids tablet
"I haven't had my Fire long enough to have explored all it has to offer. I've downloaded a couple of audio books that sound great and are easy to install and play. Not my way to watch movies or TV but the screen is nice. Very clear and sharp. Audio is just OK from the speakers, you'll want some nice head phones or buds for music or movies. I really like the Fire 8, it seems like a lot of gadget for the money.",5,2,POSITIVE,haven t fire long explore offer ve download couple audio book sound great easy install play way watch movie tv screen nice clear sharp audio ok speaker ll want nice head phone bud music movie like fire like lot gadget money
"Ask her about the weather, the news, have her play a song simply by giving her a lyric, read audiobooks, etc... the only thing she doesn't do is make phone calls if the other person doesn't have an Echo",5,2,POSITIVE,ask weather news play song simply give lyric read audiobook etc thing doesn t phone call person doesn t echo
"My mom bought the tablets first for my sisters for Christmas an then my 4 year old wanted one so I purchased one for her. She loves it uses it for games, Netflix, an she is home school so she is able to do her work on the tablet as well",5,2,POSITIVE,mom buy tablet sister christmas year old wanted purchase love use game netflix home school able work tablet
